Issue type,Issue name,Severity,Component,Behavior,Issue description,Affected page,Guideline(s),HTML snippet,CSS selector,Needs review,Needs Review Status,Best practice,How to fix this issue,Issue link,Timestamp,Issue status
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,a#skip-nav,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://vaultlister.com/,SC 1.4.3,"<a href=""#main-content"" class=""skip-nav"" tabindex=""0"">Skip to main content</a>",.skip-nav,False,Confirmed Issue,False,"Fix any of the following:
  Element has insufficient color contrast of 3.18 (foreground color: #ffffff, background color: #d97706, font size: 12.0pt (16px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=xwohxcbfauyqprez0jgqt5sazqf4uga1zvagxfdh&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeViolationId=23704&activeComponentId=a%23skip-nav&activeBehaviorValue=&activeIssueId=968576403,2026-04-21 19:12:39 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,a#forgot-password-link,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://vaultlister.com/,SC 1.4.3,"<a href=""#forgot-password"" class=""forgot-password-link"">Forgot Password?</a>",.forgot-password-link,False,Confirmed Issue,False,"Fix any of the following:
  Element has insufficient color contrast of 3.18 (foreground color: #d97706, background color: #ffffff, font size: 9.8pt (13px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=xwohxcbfauyqprez0jgqt5sazqf4uga1zvagxfdh&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeViolationId=23704&activeComponentId=a%23forgot-password-link&activeBehaviorValue=&activeIssueId=968576404,2026-04-21 19:12:39 UTC,visible
hidden-content,Hidden content on the page should be analyzed,minor,div#voice-indicator.hidden,,Inform users about hidden content.,https://vaultlister.com/,"Experimental, Best Practice","<div id=""voice-indicator"" class=""voice-indicator hidden"">
        <div class=""voice-pulse""></div>
        <span>Listening...</span>
    </div>",#voice-indicator,True,Pending Review,True,"Fix any of the following:
  There is hidden content on the page that was not analyzed. You will need to trigger the display of this content in order to analyze it.",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=xwohxcbfauyqprez0jgqt5sazqf4uga1zvagxfdh&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=23722&activeComponentId=div%23voice-indicator.hidden&activeBehaviorValue=&activeIssueId=968576405,2026-04-21 19:12:39 UTC,visible
hidden-content,Hidden content on the page should be analyzed,minor,div,,Inform users about hidden content.,https://vaultlister.com/,"Experimental, Best Practice","<div id=""cookie-banner"" role=""dialog"" aria-modal=""false"" aria-label=""Cookie consent"" aria-describedby=""cookie-banner-desc"" style=""display:none;position:fixed;bottom:0;left:0;right:0;z-index:9999;background:#18181B;color:#fef3c7;padding:1rem 1.5rem;align-items:center;justify-content:space-between;gap:1rem;flex-wrap:wrap;box-shadow:0 -2px 16px rgba(0,0,0,0.18);font-family:Inter,system-ui,sans-serif;font-size:0.9rem;"">",#cookie-banner,True,Pending Review,True,"Fix any of the following:
  There is hidden content on the page that was not analyzed. You will need to trigger the display of this content in order to analyze it.",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=xwohxcbfauyqprez0jgqt5sazqf4uga1zvagxfdh&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=23722&activeComponentId=div%23&activeBehaviorValue=&activeIssueId=968576406,2026-04-21 19:12:39 UTC,visible
hidden-content,Hidden content on the page should be analyzed,minor,span#field-error-text,,Inform users about hidden content.,https://vaultlister.com/,"Experimental, Best Practice","<span class=""field-error-text"" id=""login-password-error"" role=""alert"">Password is required</span>",#login-password-error,True,Pending Review,True,"Fix any of the following:
  There is hidden content on the page that was not analyzed. You will need to trigger the display of this content in order to analyze it.",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=xwohxcbfauyqprez0jgqt5sazqf4uga1zvagxfdh&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=23722&activeComponentId=span%23field-error-text&activeBehaviorValue=&activeIssueId=968576407,2026-04-21 19:12:39 UTC,visible
hidden-content,Hidden content on the page should be analyzed,minor,div#ws-status-dot.ws-status-dot--connected,,Inform users about hidden content.,https://vaultlister.com/,"Experimental, Best Practice","<div id=""ws-status-dot"" class=""ws-status-dot ws-status-dot--connected"" aria-label=""WebSocket connected"" role=""status"" title=""Connected""></div>",#ws-status-dot,True,Pending Review,True,"Fix any of the following:
  There is hidden content on the page that was not analyzed. You will need to trigger the display of this content in order to analyze it.",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=xwohxcbfauyqprez0jgqt5sazqf4uga1zvagxfdh&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=23722&activeComponentId=div%23ws-status-dot.ws-status-dot--connected&activeBehaviorValue=&activeIssueId=968576408,2026-04-21 19:12:39 UTC,visible
hidden-content,Hidden content on the page should be analyzed,minor,button#back-to-top.hidden,,Inform users about hidden content.,https://vaultlister.com/,"Experimental, Best Practice","<button class=""back-to-top hidden"" id=""back-to-top"" onclick=""window.scrollTo({top: 0, behavior: 'smooth'})"" title=""Back to top"" aria-label=""Back to top"">",#back-to-top,True,Pending Review,True,"Fix any of the following:
  There is hidden content on the page that was not analyzed. You will need to trigger the display of this content in order to analyze it.",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=xwohxcbfauyqprez0jgqt5sazqf4uga1zvagxfdh&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=23722&activeComponentId=button%23back-to-top.hidden&activeBehaviorValue=&activeIssueId=968576409,2026-04-21 19:12:39 UTC,visible
hidden-content,Hidden content on the page should be analyzed,minor,div#offline-indicator.hidden,,Inform users about hidden content.,https://vaultlister.com/,"Experimental, Best Practice","<div class=""offline-indicator hidden"" id=""offline-indicator"">",#global-ui > .offline-indicator.hidden,True,Pending Review,True,"Fix any of the following:
  There is hidden content on the page that was not analyzed. You will need to trigger the display of this content in order to analyze it.",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=xwohxcbfauyqprez0jgqt5sazqf4uga1zvagxfdh&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=23722&activeComponentId=div%23offline-indicator.hidden&activeBehaviorValue=&activeIssueId=968576410,2026-04-21 19:12:39 UTC,visible
hidden-content,Hidden content on the page should be analyzed,minor,nav#mobile-bottom-nav,,Inform users about hidden content.,https://vaultlister.com/,"Experimental, Best Practice","<nav class=""mobile-bottom-nav"">",nav,True,Pending Review,True,"Fix any of the following:
  There is hidden content on the page that was not analyzed. You will need to trigger the display of this content in order to analyze it.",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=xwohxcbfauyqprez0jgqt5sazqf4uga1zvagxfdh&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=23722&activeComponentId=nav%23mobile-bottom-nav&activeBehaviorValue=&activeIssueId=968576411,2026-04-21 19:12:39 UTC,visible
hidden-content,Hidden content on the page should be analyzed,minor,div#offline-indicator.hidden,,Inform users about hidden content.,https://vaultlister.com/,"Experimental, Best Practice","<div id=""offline-indicator"" class=""offline-indicator hidden"" data-testid=""offline-indicator"">
        <span class=""offline-icon"">📡</span>
        <span>You're offline. Changes will sync when you reconnect.</span>
    </div>","div[data-testid=""offline-indicator""]",True,Pending Review,True,"Fix any of the following:
  There is hidden content on the page that was not analyzed. You will need to trigger the display of this content in order to analyze it.",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=xwohxcbfauyqprez0jgqt5sazqf4uga1zvagxfdh&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=23722&activeComponentId=div%23offline-indicator.hidden&activeBehaviorValue=&activeIssueId=968576412,2026-04-21 19:12:39 UTC,visible
