Issue type,Issue name,Severity,Component,Behavior,Issue description,Affected page,Guideline(s),HTML snippet,CSS selector,Needs review,Needs Review Status,Best practice,How to fix this issue,Issue link,Timestamp,Issue status
aria-required-children,Certain ARIA roles must contain particular children,critical,div#tabs.mb-6,,Ensure elements with an ARIA role that require child roles contain them.,https://vaultlister.com/,SC 1.3.1,"<div class=""tabs mb-6"" role=""tablist"" style=""overflow-x:auto;flex-wrap:nowrap;-webkit-overflow-scrolling:touch;"">",.tabs,False,Confirmed Issue,False,"Fix any of the following:
  Element has children which are not allowed: button[tabindex]",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=9qdiycbcuc1hbyedjwghm8epwkzrnp836fhzruyu&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeViolationId=23687&activeComponentId=div%23tabs.mb-6&activeBehaviorValue=&activeIssueId=974105115,2026-04-23 18:26:43 UTC,visible
button-name,Buttons must have discernible text,critical,button#btn.btn-ghost.btn-sm,,Ensure buttons have discernible text.,https://vaultlister.com/,SC 4.1.2,"<button class=""btn btn-ghost btn-sm"" onclick=""handlers.showGoalSettings()"">",".btn-ghost.btn-sm[onclick=""handlers.showGoalSettings()""]",False,Confirmed Issue,False,"Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=9qdiycbcuc1hbyedjwghm8epwkzrnp836fhzruyu&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeViolationId=23701&activeComponentId=button%23btn.btn-ghost.btn-sm&activeBehaviorValue=&activeIssueId=974105116,2026-04-23 18:26:43 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,div#metric-change.positive,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://vaultlister.com/,SC 1.4.3,"<div class=""metric-change positive"">
                                +0.0% vs prev
                            </div>",.metric-change,False,Confirmed Issue,False,"Fix any of the following:
  Element has insufficient color contrast of 2.5 (foreground color: #ffffff, background color: #e19238, font size: 9.8pt (13px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=9qdiycbcuc1hbyedjwghm8epwkzrnp836fhzruyu&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeViolationId=23704&activeComponentId=div%23metric-change.positive&activeBehaviorValue=&activeIssueId=974105117,2026-04-23 18:26:43 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,span#funnel-stage-name,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://vaultlister.com/,SC 1.4.3,"<span class=""funnel-stage-name"">Views</span>",.funnel-stage-vertical:nth-child(1) > .funnel-stage-content > .funnel-stage-name,False,Confirmed Issue,False,"Fix any of the following:
  Element has insufficient color contrast of 2.14 (foreground color: #ffffff, background color: #f59e0b, font size: 12.0pt (16px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=9qdiycbcuc1hbyedjwghm8epwkzrnp836fhzruyu&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeViolationId=23704&activeComponentId=span%23funnel-stage-name&activeBehaviorValue=&activeIssueId=974105118,2026-04-23 18:26:43 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,div#nav-section-title,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://vaultlister.com/,SC 1.4.3,"<div class=""nav-section-title"">Sell</div>",.nav-section:nth-child(2) > .nav-section-title,False,Confirmed Issue,False,"Fix any of the following:
  Element has insufficient color contrast of 3.66 (foreground color: #6b7280, background color: #18181b, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=9qdiycbcuc1hbyedjwghm8epwkzrnp836fhzruyu&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeViolationId=23704&activeComponentId=div%23nav-section-title&activeBehaviorValue=&activeIssueId=974105119,2026-04-23 18:26:43 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,a#skip-link,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://vaultlister.com/,SC 1.4.3,"<a class=""skip-link"" href=""#main-content"">Skip to main content</a>",.skip-link,False,Confirmed Issue,False,"Fix any of the following:
  Element has insufficient color contrast of 3.18 (foreground color: #ffffff, background color: #d97706, font size: 12.0pt (16px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=9qdiycbcuc1hbyedjwghm8epwkzrnp836fhzruyu&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeViolationId=23704&activeComponentId=a%23skip-link&activeBehaviorValue=&activeIssueId=974105120,2026-04-23 18:26:43 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,button#btn.btn-sm.btn-primary,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://vaultlister.com/,SC 1.4.3,"<button class=""btn btn-sm btn-primary"" onclick=""handlers.switchChartType('soldByMarketplace', 'bar')"">Bar</button>",.mt-6.grid-cols-2.grid > .card:nth-child(1) > .justify-between.items-center.card-header > .chart-type-toggle.gap-1.flex > .btn-primary.btn-sm.btn,False,Confirmed Issue,False,"Fix any of the following:
  Element has insufficient color contrast of 3.18 (foreground color: #ffffff, background color: #d97706, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=9qdiycbcuc1hbyedjwghm8epwkzrnp836fhzruyu&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeViolationId=23704&activeComponentId=button%23btn.btn-sm.btn-primary&activeBehaviorValue=&activeIssueId=974105121,2026-04-23 18:26:43 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,div#highlight-label,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://vaultlister.com/,SC 1.4.3,"<div class=""highlight-label"">Top Platform</div>",.highlight-card:nth-child(1) > .highlight-content > .highlight-label,False,Confirmed Issue,False,"Fix any of the following:
  Element has insufficient color contrast of 3.28 (foreground color: #898e99, background color: #ffffff, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=9qdiycbcuc1hbyedjwghm8epwkzrnp836fhzruyu&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeViolationId=23704&activeComponentId=div%23highlight-label&activeBehaviorValue=&activeIssueId=974105122,2026-04-23 18:26:43 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,div#nav-section-title,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://vaultlister.com/,SC 1.4.3,"<div class=""nav-section-title"">Manage</div>",.nav-section:nth-child(3) > .nav-section-title,False,Confirmed Issue,False,"Fix any of the following:
  Element has insufficient color contrast of 3.66 (foreground color: #6b7280, background color: #18181b, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=9qdiycbcuc1hbyedjwghm8epwkzrnp836fhzruyu&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeViolationId=23704&activeComponentId=div%23nav-section-title&activeBehaviorValue=&activeIssueId=974105123,2026-04-23 18:26:43 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,span#funnel-stage-name,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://vaultlister.com/,SC 1.4.3,"<span class=""funnel-stage-name"">Sales</span>",.funnel-stage-vertical:nth-child(7) > .funnel-stage-content > .funnel-stage-name,False,Confirmed Issue,False,"Fix any of the following:
  Element has insufficient color contrast of 2.14 (foreground color: #ffffff, background color: #f59e0b, font size: 12.0pt (16px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/vaultlister.com-2/builds?thBuildId=9qdiycbcuc1hbyedjwghm8epwkzrnp836fhzruyu&recurring=true&tunnel_vision=false&id=vaultlister.com-2&tab=ALLISSUES&activeViolationId=23704&activeComponentId=span%23funnel-stage-name&activeBehaviorValue=&activeIssueId=974105124,2026-04-23 18:26:43 UTC,visible
