URL,Issue Type,Affected Text,Suggested Correction,Context
"https://vaultlister.com/affiliate.html","Spell","VaultLister","Vault Lister","...ecurring commission. Refer resellers to VaultLister and earn a 20% commission on every paym..."
"https://vaultlister.com/affiliate.html","Spell","VaultLister","Vault Lister","... not to say. How do you plan to promote VaultLister? *. e.g. YouTube reviews, Instagram Ree..."
"https://vaultlister.com/affiliate.html","Spell","Crosslist","Cross list","...vacy Policy Terms of Service Media Kit. Crosslist Flyp List Perfectly Nifty Primelister V..."
"https://vaultlister.com/affiliate.html","Spell","Flyp","Fly","...y Terms of Service Media Kit. Crosslist Flyp List Perfectly Nifty Primelister Vendoo..."
"https://vaultlister.com/affiliate.html","Spell","Primelister","Trimester","...it. Crosslist Flyp List Perfectly Nifty Primelister Vendoo. © 2026 VaultLister — Help. We u..."
"https://vaultlister.com/affiliate.html","Spell","Vendoo","Vendor","...t Flyp List Perfectly Nifty Primelister Vendoo. © 2026 VaultLister — Help. We use cook..."
"https://vaultlister.com/affiliate.html","Spell","VaultLister","Vault Lister","...fectly Nifty Primelister Vendoo. © 2026 VaultLister — Help. We use cookies to keep you sign..."
"https://vaultlister.com/help.html","Spell","VaultLister","Vault Lister","...utorials, and answers for every part of VaultLister.. Set up your account, connect your fir..."
"https://vaultlister.com/help.html","Spell","delistings","delisting","...ge platform-specific fields, and handle delistings automatically.. Configure closet sharin..."
"https://vaultlister.com/help.html","Spell","Crosslist","Cross list","...vacy Policy Terms of Service Media Kit. Crosslist Flyp List Perfectly Nifty Primelister V..."
"https://vaultlister.com/help.html","Spell","Flyp","Fly","...y Terms of Service Media Kit. Crosslist Flyp List Perfectly Nifty Primelister Vendoo..."
"https://vaultlister.com/help.html","Spell","Primelister","Trimester","...it. Crosslist Flyp List Perfectly Nifty Primelister Vendoo. © 2026 VaultLister — Help. We u..."
"https://vaultlister.com/help.html","Spell","Vendoo","Vendor","...t Flyp List Perfectly Nifty Primelister Vendoo. © 2026 VaultLister — Help. We use cook..."
"https://vaultlister.com/help.html","Spell","VaultLister","Vault Lister","...fectly Nifty Primelister Vendoo. © 2026 VaultLister — Help. We use cookies to keep you sign..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","...rial. Everything you need to know about VaultLister. Can't find an answer? Contact us .. Wh..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","...t find an answer? Contact us .. What is VaultLister? +. VaultLister is a multi-channel rese..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","...? Contact us .. What is VaultLister? +. VaultLister is a multi-channel reselling platform t..."
"https://vaultlister.com/faq.html","Spell","multi-channel","multichannel","...hat is VaultLister? +. VaultLister is a multi-channel reselling platform that lets you list i..."
"https://vaultlister.com/faq.html","Spell","Poshmark","Postmark","...t. It's built for resellers who sell on Poshmark, eBay, Mercari, Depop, Grailed, Etsy, S..."
"https://vaultlister.com/faq.html","Spell","Mercari","Mercury","...r resellers who sell on Poshmark, eBay, Mercari, Depop, Grailed, Etsy, Shopify, Faceboo..."
"https://vaultlister.com/faq.html","Spell","Depop","Depot","...rs who sell on Poshmark, eBay, Mercari, Depop, Grailed, Etsy, Shopify, Facebook Marke..."
"https://vaultlister.com/faq.html","Spell","Grailed","Grained","...sell on Poshmark, eBay, Mercari, Depop, Grailed, Etsy, Shopify, Facebook Marketplace, a..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","...ebook Marketplace, and Whatnot.. How is VaultLister different from other cross-listing tool..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","...rent from other cross-listing tools? +. VaultLister combines cross-listing, inventory manag..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","... lock key features behind higher tiers. VaultLister's flat subscription covers everything, ..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","...AI assistance.. Which marketplaces does VaultLister support? +. VaultLister supports Poshma..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","...rketplaces does VaultLister support? +. VaultLister supports Poshmark, eBay, Mercari, Depop..."
"https://vaultlister.com/faq.html","Spell","Poshmark","Postmark","...Lister support? +. VaultLister supports Poshmark, eBay, Mercari, Depop, Grailed, Etsy, S..."
"https://vaultlister.com/faq.html","Spell","Mercari","Mercury","...+. VaultLister supports Poshmark, eBay, Mercari, Depop, Grailed, Etsy, Shopify, Faceboo..."
"https://vaultlister.com/faq.html","Spell","Depop","Depot","...ister supports Poshmark, eBay, Mercari, Depop, Grailed, Etsy, Shopify, Facebook Marke..."
"https://vaultlister.com/faq.html","Spell","Grailed","Grained","...upports Poshmark, eBay, Mercari, Depop, Grailed, Etsy, Shopify, Facebook Marketplace, a..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","...r upcoming integrations.. How much does VaultLister cost? +"
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","VaultLister offers three plans: Starter (C$9/month)..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","...tracts.. Is there a free trial? +. Yes. VaultLister has a free tier that lets you get start..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","... Are there any per-listing fees? +. No. VaultLister charges a flat monthly subscription — t..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","...g work? +. You create a listing once in VaultLister — photos, title, description, price, co..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","...se which marketplaces to publish it to. VaultLister maps your listing data to each platform..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","...on. When an item sells on any platform, VaultLister automatically marks it as sold and deli..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","... when an item sells on one platform? +. VaultLister monitors your sales in real time. When ..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","... I import my existing listings? +. Yes. VaultLister can import your existing active listing..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","...mported, your items are managed through VaultLister's inventory and can be cross-listed to ..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","...orms.. Automations & Account Safety. Is VaultLister safe to use with my marketplace account..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","VaultLister is designed with account safety as a co..."
"https://vaultlister.com/faq.html","Spell","Poshmark","Postmark","...core priority. Automation actions (like Poshmark closet sharing) respect each platform's..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","...erms of service.. What automations does VaultLister offer? +. Current automations include: ..."
"https://vaultlister.com/faq.html","Spell","Poshmark","Postmark","... offer? +. Current automations include: Poshmark closet sharing (share your entire close..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","...velopment — see the Roadmap .. How does VaultLister handle my data? +. VaultLister stores y..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","...How does VaultLister handle my data? +. VaultLister stores your inventory data, listing con..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","... Privacy Policy for full details.. Does VaultLister use AI? What data is sent to AI service..."
"https://vaultlister.com/faq.html","Spell","VaultLister","Vault Lister","...at data is sent to AI services? +. Yes. VaultLister uses Claude AI (by Anthropic) to help g..."
"https://vaultlister.com/faq.html","Spell","Crosslist","Cross list","...vacy Policy Terms of Service Media Kit. Crosslist Flyp List Perfectly Nifty Primelister V..."
"https://vaultlister.com/faq.html","Spell","Flyp","Fly","...y Terms of Service Media Kit. Crosslist Flyp List Perfectly Nifty Primelister Vendoo..."
